	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d"	"H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d"
	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL	PowerALL
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-66.25553	-1268.37134	-1592.42749	-28.08152	-1270.68982	-1648.98145	-59.74278	-1511.80383	-1625.46069	-0.68377	-1327.11853	-1457.72302	-19.73932	-1310.18311	-1550.72058
2	-77.29483	-1323.95056	-1661.39795	-39.44688	-1330.69885	-1725.04993	-69.21238	-1553.18774	-1660.77417	-5.74875	-1385.84741	-1526.89282	-27.11754	-1374.24219	-1633.26013
3	-88.32633	-1372.42883	-1712.91809	-51.00964	-1384.00488	-1783.68323	-78.6671	-1587.38086	-1677.64856	-11.07458	-1437.51819	-1578.33545	-34.69531	-1431.67944	-1698.23987
4	-99.32903	-1413.91248	-1747.53076	-62.74458	-1430.61584	-1825.13538	-88.053	-1615.0188	-1677.94275	-16.6791	-1482.05103	-1611.84192	-42.47395	-1482.24927	-1744.99451
5	-110.28578	-1448.67554	-1766.61194	-74.65833	-1470.74341	-1850.45801	-97.33505	-1636.76855	-1664.01709	-22.55871	-1519.73706	-1628.63037	-50.44901	-1526.04199	-1774.2074
6	-121.17078	-1477.10254	-1772.00781	-86.7723	-1504.66504	-1861.05334	-106.48351	-1653.28308	-1638.30273	-28.69993	-1551.02332	-1630.7196	-58.61176	-1563.31726	-1787.35352
7	-131.93152	-1499.69092	-1765.74072	-99.0865	-1532.71814	-1858.44409	-115.45219	-1665.21643	-1603.00671	-35.08224	-1576.41052	-1620.44568	-66.9408	-1594.42468	-1786.27307
8	-142.47511	-1517.0105	-1749.69568	-111.55175	-1555.30383	-1844.1405	-124.16975	-1673.2699	-1559.94897	-41.67265	-1596.4397	-1600.11597	-75.39121	-1619.77258	-1772.87976
9	-152.66711	-1529.69385	-1725.43665	-124.06236	-1572.90173	-1819.52661	-132.54231	-1678.22729	-1510.52026	-48.42284	-1611.71704	-1571.76709	-83.89095	-1639.84875	-1748.97034
10	-162.33839	-1538.45703	-1694.20129	-136.46196	-1586.09265	-1785.76794	-140.45003	-1680.88733	-1455.74597	-55.27243	-1622.95508	-1536.99573	-92.34277	-1655.24731	-1716.0752
11	-171.28609	-1544.06213	-1656.96777	-148.54747	-1595.53503	-1743.7865	-147.7383	-1681.94128	-1396.33704	-62.15013	-1630.94861	-1496.93884	-100.62476	-1666.62952	-1675.38562
12	-179.28177	-1547.21533	-1614.48865	-160.07687	-1601.88379	-1694.28967	-154.21959	-1681.90369	-1332.71155	-68.9624	-1636.50623	-1452.38672	-108.59042	-1674.68054	-1627.8396
13	-186.09074	-1548.48816	-1567.29187	-170.77419	-1605.72375	-1637.82495	-159.68355	-1681.12231	-1265.06665	-75.58002	-1640.38245	-1403.8894	-116.07373	-1680.08374	-1574.23572
14	-191.49362	-1548.33594	-1515.7915	-180.32993	-1607.56104	-1574.9071	-163.90546	-1679.84558	-1193.5271	-81.8327	-1643.20117	-1351.84741	-122.88218	-1683.44189	-1515.24585
15	-195.30527	-1547.17102	-1460.46753	-188.41791	-1607.84241	-1506.15552	-166.67113	-1678.28003	-1118.34717	-87.51868	-1645.4187	-1296.62488	-128.78815	-1685.2041	-1451.41504
16	-197.38399	-1545.32727	-1401.85669	-194.7366	-1606.95703	-1432.28809	-167.81778	-1676.57288	-1040.01794	-92.4282	-1647.32812	-1238.59424	-133.54939	-1685.67517	-1383.25269
17	-197.63541	-1542.96558	-1340.45178	-199.05301	-1605.24658	-1354.05835	-167.25485	-1674.71729	-959.17859	-96.36971	-1649.06238	-1178.09937	-136.95235	-1685.05457	-1311.36951
18	-196.02632	-1540.08679	-1276.75012	-201.22975	-1602.9845	-1272.30566	-164.95764	-1672.47058	-876.50958	-99.19059	-1650.60889	-1115.48474	-138.84476	-1683.44934	-1236.53625
19	-192.5965	-1536.60425	-1211.3241	-201.23044	-1600.29382	-1188.00476	-160.95847	-1669.38208	-792.75275	-100.78677	-1651.83447	-1051.2124	-139.14641	-1680.86353	-1159.61084
20	-187.45001	-1532.38025	-1144.81299	-199.10754	-1597.09045	-1102.19995	-155.34381	-1664.89807	-708.72406	-101.10197	-1652.47192	-985.90125	-137.84325	-1677.16675	-1081.41821
21	-180.73894	-1527.21606	-1077.88843	-194.97797	-1593.09045	-1015.8714	-148.24597	-1658.4043	-625.20013	-100.12603	-1652.12561	-920.24091	-134.97078	-1672.07812	-1002.69006
22	-172.64735	-1520.80249	-1011.13049	-188.9928	-1587.86279	-929.79553	-139.8253	-1649.23047	-542.79822	-97.89263	-1650.3103	-854.87799	-130.59911	-1665.19202	-924.06769
23	-163.37082	-1512.71704	-944.88605	-181.31534	-1580.92566	-844.492	-130.25407	-1636.72302	-461.98297	-94.47273	-1646.50366	-790.33313	-124.82838	-1656.04468	-846.10327
24	-153.09743	-1502.50647	-879.28265	-172.11417	-1571.84729	-760.28625	-119.70801	-1620.33704	-383.14835	-89.96715	-1640.19934	-726.98914	-117.78751	-1644.16809	-769.24579
25	-141.99736	-1489.75769	-814.34528	-161.56798	-1560.28308	-677.39014	-108.36463	-1599.64392	-306.68802	-84.49931	-1630.95215	-665.13959	-109.62884	-1629.12488	-693.85187
26	-130.22438	-1474.10999	-750.0755	-149.87068	-1545.94507	-595.92993	-96.40916	-1574.28796	-233.00713	-78.20413	-1618.40356	-605.00726	-100.52184	-1610.53552	-620.21075
27	-117.92528	-1455.255	-686.46814	-137.22592	-1528.55981	-515.93738	-84.04938	-1543.96387	-162.47739	-71.2178	-1602.30066	-546.71741	-90.65115	-1588.08899	-548.53448
28	-105.24841	-1432.92505	-623.5155	-123.83588	-1507.86621	-437.36044	-71.5323	-1508.43347	-95.4397	-63.6798	-1582.50073	-490.31516	-80.21928	-1561.54724	-478.93762
29	-92.35479	-1406.88953	-561.24573	-109.89972	-1483.61743	-360.12283	-59.14678	-1467.55664	-32.22225	-55.74511	-1558.95581	-435.83414	-69.4522	-1530.75562	-411.46066
30	-79.43563	-1376.97229	-499.7652	-95.62808	-1455.57422	-284.20355	-47.20737	-1421.33179	26.92482	-47.59365	-1531.70483	-383.32092	-58.60307	-1495.63391	-346.12079
31	-66.72306	-1343.09045	-439.24271	-81.26242	-1423.52515	-209.67068	-36.03283	-1369.93518	81.89578	-39.43076	-1500.85645	-332.76324	-47.95173	-1456.18738	-282.94806
32	-54.48249	-1305.27185	-379.79526	-67.08257	-1387.36328	-136.65285	-25.92843	-1313.7334	132.72217	-31.48175	-1466.55249	-284.01376	-37.79699	-1412.55273	-221.97499
33	-42.98925	-1263.65601	-321.35614	-53.39961	-1347.16602	-65.27493	-17.16563	-1253.28333	179.55579	-23.98269	-1428.95715	-236.81288	-28.43914	-1365.01416	-163.16417
34	-32.49986	-1218.52686	-263.66483	-40.53741	-1303.21399	4.41841	-9.95459	-1189.3302	222.66057	-17.16262	-1388.29675	-190.83499	-20.15519	-1313.96838	-106.34496
35	-23.22753	-1170.34387	-206.3728	-28.80285	-1255.97314	72.50684	-4.41771	-1122.76196	262.34827	-11.22029	-1344.90527	-145.67497	-13.17266	-1259.90759	-51.24649
36	-15.32575	-1119.70032	-149.164	-18.45512	-1206.05798	139.14081	-0.57346	-1054.52673	298.88748	-6.30584	-1299.24243	-100.88339	-7.64774	-1203.43237	2.39498
37	-8.87762	-1067.22815	-91.82677	-9.68661	-1154.16675	204.43243	1.66692	-985.56567	332.46838	-2.51119	-1251.86133	-56.08012	-3.65174	-1145.24023	54.75826
38	-3.89117	-1013.52917	-34.28315	-2.61228	-1101.00208	268.405	2.48908	-916.77844	363.20624	0.13447	-1203.33948	-10.97758	-1.16487	-1086.07227	105.94286
39	-0.29992	-959.15796	23.38837	2.73906	-1047.22888	331.02475	2.15455	-849.00055	391.14816	1.66741	-1154.24121	34.70412	-0.07565	-1026.66101	156.00412
40	2.03114	-904.63092	80.94418	6.4289	-993.47253	392.23999	0.97463	-782.94513	416.31683	2.19072	-1105.09351	81.25536	-0.18796	-967.71399	204.95323
41	3.29091	-850.44397	138.03432	8.60283	-940.36292	451.98178	-0.72233	-719.11591	438.79074	1.86897	-1056.31006	128.90022	-1.23742	-909.90656	252.76079
42	3.70024	-797.08649	194.28473	9.47515	-888.56409	510.18152	-2.6283	-657.79266	458.71991	0.9108	-1008.1369	177.75771	-2.91814	-853.80798	299.39798
43	3.48971	-745.03076	249.30505	9.31073	-838.65375	566.83289	-4.48637	-599.12158	476.25079	-0.45602	-960.70062	227.89629	-4.92015	-799.75677	344.87668
44	2.88011	-694.70435	302.63651	8.40241	-790.9118	621.98584	-6.10657	-543.20563	491.47617	-2.00903	-914.0885	279.40546	-6.96624	-747.83661	389.26151
45	2.06503	-646.46509	353.76788	7.03792	-745.28943	675.65637	-7.36661	-490.13495	504.45575	-3.55102	-868.37891	332.39044	-8.83315	-697.9859	432.68106
46	1.19848	-600.55896	402.31531	5.46725	-701.5672	727.77026	-8.20334	-439.99741	515.26898	-4.92331	-823.63129	386.89014	-10.35654	-650.10443	475.31134
47	0.39112	-557.07141	448.24829	3.88503	-659.48846	778.15802	-8.60111	-392.89154	524.08575	-6.01034	-779.87134	442.8223	-11.42798	-604.10376	517.29224
